und_umls_cuii,umls_cui
C0042382,C0081489
C0042382,C0081489
C0006826,C0081489
C0006826,C0081489
C0018270,C0081489
C0018270,C0081489
C0030193,C0092581
C0030193,C0092581
C0021368,C0092581
C0021368,C0092581
C0035435,C0092581
C0012797,C0092581
C0027477,C0092581
C0683211,C0092581
C0152027,C0092581
C0027793,C0051076
C1566391,C0108443
C0016320,C0108443
C0021213,C0108443
C1450139,C0108443
C0020964,C0064543
C0301872,C0064543
C0021311,C0208248
C0024530,C0208248
C0030499,C0208248
C0033740,C0208248
C0014432,C0536682
C0019693,C0131126
C0021311,C0131126
C0035369,C0131126
C0042769,C0131126
C0007974,C0068087
C2757050,C0068087
C0027793,C0044180
C1152740,C0044180
C1152740,C0044180
C0007682,C0044279
C0598958,C0044279
C0678771,C0044279
C0006826,C0045368
C1566391,C0046901
C0016320,C0046901
C0021213,C0046901
C1450139,C0046901
C2254641,C0291374
C0014432,C0291374
C0001730,C0676471
C0021213,C0676471
C0234101,C0049894
C1152730,C0049894
C0027793,C0049894
C1566391,C0054393
C0009924,C0054393
C0016320,C0054393
C0021213,C0054393
C1450139,C0054393
C0014432,C0259423
C2263455,C0259423
C0027793,C0756237
C1152740,C0756237
C1152740,C0756237
C0006826,C0061708
C0018939,C0061708
C0032176,C0061708
C0021213,C0668026
C0038738,C0668026
C0234101,C0753884
C1152730,C0753884
C0027793,C0753884
C0079866,C0044093
C0480774,C0044093
C0027793,C0043960
C3178749,C0043960
C3159308,C0043960
C3159308,C0043960
C0599059,C0045280
C0678771,C0045280
C0877035,C0045341
C0877035,C0045341
C1149475,C0045341
C1149475,C0045341
C0877035,C0045341
C0020965,C0047115
C0007222,C0047115
C0020964,C0047115
C0234097,C0258258
C0234097,C0258258
C0027793,C0258258
C1148665,C0258258
C1566391,C0048528
C0016320,C0048528
C0021213,C0048528
C1450139,C0048528
C0018799,C0098037
C0007222,C0098037
C0678771,C0098037
C0021311,C0049104
C0021311,C0049104
C1566391,C0049643
C0016320,C0049643
C0021213,C0049643
C1450139,C0049643
C0599059,C1451927
C0234098,C0099550
C0544651,C0099550
C0234098,C0099550
C0027793,C0099550
C0027793,C0050079
C1152740,C0050079
C1152740,C0050079
C0007222,C0101197
C0333565,C0101197
C0016017,C0101197
C0018939,C0101197
C0032176,C0101197
C0030193,C0949300
C0007682,C0949300
C0683211,C0949300
C0152027,C0949300
C0596263,C0067578
C0480774,C0067578
C0007682,C0212361
C1816494,C0212361
C1816494,C0212361
C0598958,C0212361
C0027793,C0212361
C0678771,C0212361
C0012797,C0166128
C0027477,C0166128
C0234101,C0044430
C1152730,C0044430
C0027793,C0044430
C0596263,C0045826
C0079866,C0045826
C0480774,C0045826
C0596263,C0077414
C0079866,C0077414
C0480774,C0077414
C0021311,C0047204
C0024530,C0047204
C0030499,C0047204
C0033740,C0047204
C0014432,C0047204
C2263455,C0047204
C0021213,C0047536
C0014432,C0047895
C2263455,C0047895
C1150239,C0047895
C1150284,C0047895
C1566391,C0049887
C0016320,C0049887
C0021213,C0049887
C1450139,C0049887
C1150124,C0388991
C0014432,C0388991
C2263455,C0388991
C1566391,C0067510
C0016320,C0067510
C0021213,C0067510
C1450139,C0067510
C0599059,C0068065
C0678771,C0068065
C3163616,C0083986
C0030193,C0077580
C0003811,C0077580
C0007222,C0077580
C0007682,C0077580
C0683211,C0077580
C0152027,C0077580
C0006826,C0216949
C0234101,C0043599
C1152730,C0043599
C0027793,C0043599
C0006826,C0088835
C0007222,C0248424
C1158468,C0248424
C0596263,C0167369
C0006826,C0167369
C0678771,C0167369
C0014432,C0088478
C2263455,C0088478
C0877035,C0045340
C0877035,C0045340
C1149475,C0045340
C1149475,C0045340
C0877035,C0045340
C0020964,C0045796
C0301872,C0045796
C0006826,C0218593
C0014432,C0218593
C0007682,C0048408
C0030971,C0048408
C0027793,C0048408
C0004936,C0048408
C1152740,C0048408
C1152740,C0048408
C0025519,C0146177
C0020473,C0146177
C0598783,C0146177
C1566391,C0049150
C0016320,C0049150
C0021213,C0049150
C1450139,C0049150
C0004623,C0292300
C0007682,C0050001
C0014432,C0050001
C0598958,C0050001
C0678771,C0050001
C0018939,C0164985
C0032176,C0164985
C0030011,C1259156
C0040434,C1259156
C0008583,C0063991
C1566391,C0063991
C0021213,C0063991
C0021213,C0131076
C0024530,C0965649
C1517315,C0965649
C0007682,C0093669
C2917138,C0093669
C3179492,C0093669
C1816494,C0093669
C1816494,C0093669
C1816494,C0093669
C0027793,C0093669
C0007222,C0209923
C0042401,C0209923
C0004623,C2715898
C0026946,C2715898
C0006826,C2715898
C0006826,C2935309
C1566391,C0049951
C0016320,C0049951
C0021213,C0049951
C1450139,C0049951
C1566391,C0050021
C0016320,C0050021
C0021213,C0050021
C1450139,C0050021
C0007222,C0069894
C0042396,C0069894
C0018939,C0043843
C0032176,C0043843
C0018889,C0045694
C0021311,C0045694
C0027583,C0045694
C0030499,C0045694
C0014432,C0045694
C1151830,C0045694
C1566391,C0045733
C0016320,C0045733
C0021213,C0045733
C1450139,C0045733
C0006826,C0045465
C0014432,C0045465
C0573830,C0045465
C0006826,C3252491
C0019693,C0046793
C0021311,C0046793
C0035369,C0046793
C0042769,C0046793
C1566391,C1176304
C0016320,C1176304
C0021213,C1176304
C1450139,C1176304
C0518003,C0048255
C0234097,C0048255
C0234097,C0048255
C1148664,C0048255
C0027793,C0048255
C3179241,C0048255
C0683211,C0048255
C0034760,C0099562
C2261757,C0099850
C0021311,C0050163
C0042769,C0050163
C0011202,C0164183
C0014432,C0067456
C1150527,C0067456
C0014432,C0380770
C0006826,C0960602
C0024530,C0960602
C0596263,C0045819
C0079866,C0045819
C0480774,C0045819
C0079866,C0077413
C0480774,C0077413
C1566391,C0047916
C0016320,C0047916
C0021213,C0047916
C1450139,C0047916
C0030193,C0096801
C0030193,C0096801
C0021368,C0096801
C0021368,C0096801
C0035435,C0096801
C0014432,C0096801
C1151586,C0096801
C0683211,C0096801
C0152027,C0096801
C2254641,C0048476
C0014432,C0048476
C0002895,C0950600
C0018939,C0950600
C0678771,C0950600
C3179279,C0950600
C0008583,C0049081
C1566391,C0049081
C0021213,C0049081
C0042382,C0049330
C0042382,C0049330
C0006826,C0049330
C0018270,C0049330
C0018270,C0049330
C0014432,C0099559
C1151830,C0099559
C1566391,C0049891
C0016320,C0049891
C0021213,C0049891
C1450139,C0049891
C0014432,C0107919
C0005479,C0071599
C0008583,C0072141
C1566391,C0072141
C0021213,C0072141
C0004096,C0088887
C0518003,C0088887
C1371299,C0088887
C0683211,C0088887
C0035204,C0088887
C1566391,C0088100
C0016320,C0088100
C0021213,C0088100
C1450139,C0088100
C1516456,C0000097
C0234101,C0000097
C1516456,C0000097
C0027793,C0000097
C0480774,C0000097
C0007222,C0298857
C1158468,C0298857
C0010360,C0046905
C0021213,C0046905
C2258748,C1958132
C0014432,C1958132
C0020456,C1958132
C2263455,C1958132
C0234101,C0098525
C1152730,C0098525
C0027793,C0098525
C1149475,C0099263
C1149475,C0099263
C1152751,C0099263
C0001730,C0059811
C0010360,C0059811
C0021213,C0059811
C0020965,C0082715
C0020964,C0082715
C0025519,C0218380
C0020473,C0218380
C0598783,C0218380
C0596263,C0068179
C0480774,C0068179
C0010360,C0068285
C0021213,C0068285
C0234101,C0245420
C1152730,C0245420
C0027793,C0245420
C0014432,C0044222
C0234098,C0044397
C0234098,C0044397
C0544652,C0044397
C0020538,C0044397
C0007222,C0044397
C0027793,C0044397
C0596263,C0045822
C0079866,C0045822
C0480774,C0045822
C0009951,C0092488
C0007682,C0092488
C0234107,C0092488
C0234107,C0092488
C0027793,C0092488
C0014432,C0046427
C1753334,C0046427
C2263455,C0046427
C0001730,C0047180
C0234097,C0047180
C0234097,C0047180
C0010360,C0047180
C0021213,C0047180
C0027793,C0047180
C1148665,C0047180
C0525025,C0047180
C0003467,C0257129
C0007682,C0257129
C0151559,C0257129
C0004936,C0257129
C3179402,C0257129
C0006826,C0663164
C0014432,C0663164
C1566391,C0067558
C0016320,C0067558
C0021213,C0067558
C1450139,C0067558
C0020965,C0067757
C0019693,C0067757
C0021311,C0067757
C0035369,C0067757
C0042769,C0067757
C0020964,C0067757
C0014432,C0214900
C1150527,C0214900
C3179301,C0291312
C0007682,C0291312
C0151559,C0291312
C0006826,C0089089
C1153433,C0045715
C0007222,C0045715
C1566391,C0045715
C0016320,C0045715
C0021213,C0045715
C1450139,C0045715
C1519624,C0045715
C0026255,C0046312
C0026255,C0046312
C1156032,C0046312
C0751968,C0291978
C0018939,C0291978
C0032176,C0291978
C0014432,C1323140
C1753334,C1323140
C0596263,C0047947
C0480774,C0047947
C0009951,C0048979
C0007682,C0048979
C2917138,C0048979
C3179492,C0048979
C0002073,C0098021
C0480774,C0098021
C0021311,C0050174
C0006826,C0050174
C0042769,C0050174
C0020964,C0050174
C0301872,C0050174
C0021311,C0050181
C0030499,C0050181
C0033740,C0050181
C0042769,C0050181
C0041227,C0050181
C1153433,C0130188
C0007222,C0130188
C0014432,C0130188
C1519624,C0130188
C1150527,C0130188
C0006826,C0088718
C3179280,C0088718
C1152762,C0384984
C0027793,C0384984
C3178749,C0384984
C3159308,C0384984
C3159308,C0384984
C1152762,C0043958
C0027793,C0043958
C3178749,C0043958
C3159308,C0043958
C3159308,C0043958
C1566391,C0072671
C0016320,C0072671
C0021213,C0072671
C1450139,C0072671
C0234101,C0092277
C1152730,C0092277
C0027793,C0092277
C1566391,C0045149
C0016320,C0045149
C0021213,C0045149
C1450139,C0045149
C0596263,C0045811
C0079866,C0045811
C0480774,C0045811
C0596263,C0046943
C0079866,C0046943
C0480774,C0046943
C1566391,C0047928
C0016320,C0047928
C0021213,C0047928
C1450139,C0047928
C0021213,C0210442
C1566391,C0053679
C0016320,C0053679
C0021213,C0053679
C1450139,C0053679
C0027793,C0754781
C3178749,C0754781
C3159308,C0754781
C3159308,C0754781
C3159308,C0754781
C1566391,C0067561
C0016320,C0067561
C0021213,C0067561
C1450139,C0067561
C2258748,C0622338
C0014432,C0622338
C0020456,C0622338
C2263455,C0622338
C0021213,C0668028
C0038738,C0668028
C0014432,C0950895
C0003467,C0045376
C0009951,C0045376
C0007682,C0045376
C0151559,C0045376
C0234107,C0045376
C0234107,C0045376
C0027793,C0045376
C0004936,C0045376
C3179402,C0045376
C0079866,C0092521
C0480774,C0092521
C0427970,C0638720
C0006826,C0046798
C0006826,C0046798
C0010360,C0046798
C0021213,C0046798
C1566391,C0048876
C0016320,C0048876
C0021213,C0048876
C1450139,C0048876
C0032343,C0384992
C0599059,C0384992
C1517315,C0384992
C0678771,C0384992
C0021213,C0067333
C0020965,C0646856
C0021311,C0646856
C0020964,C0646856
C0007974,C0043637
C0019693,C0044083
C0021311,C0044083
C0035369,C0044083
C0042769,C0044083
C0014432,C0044083
C0597095,C0044083
C2257391,C0044083
C0006826,C0047061
C0006826,C0047061
C0006826,C0258113
C0014432,C0258113
C0021213,C0258113
C0021717,C0258113
C0021213,C0047952
C0006826,C1434851
C0006826,C0130149
C0014432,C0130149
C2257146,C0130149
C1150386,C0130149
C0018939,C0911258
C1152738,C0911258
C1152738,C0911258
C0027793,C0911258
C0032176,C0911258
C1152747,C3253091
C1152747,C3253091
C1149475,C3253091
C1149475,C3253091
C0027793,C3253091
C0027793,C0091873
C1152740,C0091873
C1152740,C0091873
C0020443,C0095225
C0025519,C0095225
C0014432,C0095225
C0020473,C0095225
C0598783,C0095225
C0021213,C0048536
C1153433,C1812577
C0007222,C1812577
C1519624,C1812577
C0014432,C0296871
C2263455,C0296871
C1566391,C0057126
C0016320,C0057126
C0021213,C0057126
C1450139,C0057126
C0014432,C0067452
C0007974,C0067319
C0234097,C0067319
C1149831,C0067319
C0014432,C0067319
C0027793,C0067319
C0010360,C0044348
C0021213,C0044348
C0014432,C0046305
C2263455,C0046305
C0009951,C0047123
C0007682,C0047123
C0234107,C0047123
C0234107,C0047123
C0027793,C0047123
C0518003,C0047943
C3179241,C0047943
C0683211,C0047943
C0596263,C0047964
C0480774,C0047964
C0024530,C1144535
C0041227,C1144535
C0018889,C0995162
C0021311,C0995162
C0030499,C0995162
C0018889,C0995162
C0033740,C0995162
C0036323,C0995162
C0041227,C0995162
C0006826,C2935310
C0030193,C0102733
C0030193,C0102733
C0021368,C0102733
C0021368,C0102733
C0599059,C0102733
C0035435,C0102733
C0014432,C0102733
C0018939,C0102733
C1151586,C0102733
C0683211,C0102733
C0032176,C0102733
C0678771,C0102733
C0152027,C0102733
C0006826,C0053771
C0030193,C0950855
C0030193,C0950855
C0021368,C0950855
C0021368,C0950855
C0035435,C0950855
C2261439,C0950855
C0014432,C0950855
C0683211,C0950855
C0152027,C0950855
C0037274,C0071711
C1721086,C0071711
C0010957,C0071711
C0518003,C1571594
C3179243,C1571594
C0683211,C1571594
C0596263,C0047292
C0079866,C0047292
C0480774,C0047292
C0014432,C0096469
C2263455,C0096469
C1150239,C0096469
C0007974,C0059821
C2757050,C0059821
C0021213,C0047117
C0027793,C0098524
C1152740,C0098524
C1152740,C0098524
C0037274,C0378035
C3179153,C0378035
C3179280,C0378035
C1566391,C0044191
C0016320,C0044191
C0021213,C0044191
C1450139,C0044191
C0021213,C0040270
C0021213,C0088222
C2254641,C0044981
C1148774,C0044981
C0014432,C0044981
C1149475,C0044981
C1149475,C0044981
C0021213,C0045246
C0596263,C0046181
C0079866,C0046181
C0480774,C0046181
C0599059,C0212815
C1517315,C0212815
C0234101,C0536538
C1152730,C0536538
C0027793,C0536538
C0599059,C0099224
C0678771,C0099224
C1150124,C0533362
C0014432,C0533362
C2263455,C0533362
C0020456,C0059740
C0596263,C0043824
C0480774,C0043824
C0020538,C0044248
C0007222,C0044248
C0042401,C0044248
C0234101,C0044444
C1152730,C0044444
C0027793,C0044444
C3179280,C0045279
C0032995,C0950498
C0032995,C0950498
C0020964,C0950498
C0301872,C0950498
C0032995,C0950498
C1150124,C0674974
C0014432,C0674974
C2263455,C0674974
C1150124,C0053318
C0014432,C0053318
C2263455,C0053318
C0030193,C0130390
C0030193,C0130390
C0021368,C0130390
C0021368,C0130390
C0035435,C0130390
C0683211,C0130390
C0152027,C0130390
C0678771,C0141203
C3179279,C0141203
C0027793,C0088711
C1152740,C0088711
C1152740,C0088711
C0007974,C0043775
C0021213,C0043775
C0021213,C0046352
C1450139,C0046352
C0009951,C0252498
C0007682,C0252498
C0234107,C0252498
C0234107,C0252498
C0598958,C0252498
C0027793,C0252498
C0678771,C0252498
C3179301,C0211574
C3179301,C0211574
C3179301,C0211574
C0007682,C0211574
C0151559,C0211574
C0014432,C0067155
C0014432,C2930498
C1151586,C2930498
C1566391,C0143954
C0016320,C0143954
C0021213,C0143954
C1450139,C0143954
C0014432,C0069393
C0027793,C0094793
C1152740,C0094793
C1152740,C0094793
C0006826,C0047069
C0006826,C2974769
C0014432,C2974769
C2257146,C2974769
C1150386,C2974769
C0007682,C0107942
C1150124,C0107942
C0014432,C0107942
C0598958,C0107942
C2263455,C0107942
C0678771,C0107942
C0010360,C0044378
C0021213,C0044378
C0234098,C0045751
C0544651,C0045751
C0234098,C0045751
C0027793,C0045751
C0234101,C0949470
C1152730,C0949470
C0027793,C0949470
C0011740,C0047101
C0038888,C0047101
C0007682,C0383779
C1150124,C0383779
C0014432,C0383779
C0598958,C0383779
C2263455,C0383779
C0678771,C0383779
C1150124,C0388131
C0014432,C0388131
C2263455,C0388131
C0007222,C0166856
C0042401,C0166856
C0006826,C0045644
C0014432,C0130141
C1150527,C0130141
C1566391,C0067516
C0016320,C0067516
C0021213,C0067516
C1450139,C0067516
C0234097,C0014614
C1149831,C0014614
C0014432,C0014614
C0277344,C0014614
C0027793,C0014614
C0597202,C0014614
C0030193,C0212660
C0030193,C0212660
C0021368,C0212660
C0021368,C0212660
C0035435,C0212660
C0014432,C0212660
C1151586,C0212660
C0683211,C0212660
C0152027,C0212660
C0009407,C0094912
C0013343,C0094912
C0030193,C0949477
C0030193,C0949477
C0021368,C0949477
C0021368,C0949477
C0035435,C0949477
C2261439,C0949477
C0014432,C0949477
C1151586,C0949477
C0683211,C0949477
C0152027,C0949477
C1566391,C0067901
C0014432,C0067901
C0016320,C0067901
C0021213,C0067901
C1450139,C0067901
C0234098,C0087344
C0544651,C0087344
C0234098,C0087344
C0027793,C0087344
C2258748,C1122500
C0014432,C1122500
C0020456,C1122500
C2263455,C1122500
C0001730,C0293183
C0021213,C0293183
C0277344,C0293183
